Wavelength,Absorbance,Types
200.413,1.873,Olive Oil
402.632,0.261,Crude Oil
284.257,0.069,Sesame Oil
257.455,0.453,Transformer Oil
296.091,0.136,Transformer Oil
480.921,0.62,Refined Oil
223.385,0.114,Flaxseed Oil
348.841,0.131,Raspberry Oil
221.045,1.113,Canola Oil
629.432,0.062,Dershani Oil
315.132,0.105,Crude Oil
566.231,0.292,Peppermint Oil
302.201,3.502,Canola Oil
374.14,1.609,Sunflower Oil
241.447,0.226,Refined Oil
208.545,2.435,Transformer Oil
205.152,2.185,Transformer Oil
505.921,0.279,Crude Oil
216.094,1.24,Sunflower Oil
224.532,0.102,Flaxseed Oil
648.143,0.433,Canola Oil
523.026,0.059,Crude Oil
346.905,3.266,Sunflower Oil
247.711,0.077,Sesame Oil
779.167,9.28E-04,Refined Oil
519.737,0.135,Refined Oil
283.769,2.185,Sunflower Oil
251.411,0.066,Sesame Oil
235.045,1.1,Transformer Oil
316.386,0.014,Sesame Oil
254.596,0.032,Flaxseed Oil
377.854,2.348,Olive Oil
223.844,0.107,Flaxseed Oil
355.571,2.792,Sunflower Oil
248.684,0.191,Refined Oil
289.795,0.201,Transformer Oil
331.637,2.422,Olive Oil
225.909,0.093,Flaxseed Oil
304.596,0.022,Sesame Oil
213.769,0.508,Sunflower Oil
234.868,0.247,Crude Oil
280.193,1.472,Canola Oil
294.737,0.195,Crude Oil
328.947,0.12,Crude Oil
292.117,0.045,Sesame Oil
509.078,0.459,Sunflower Oil
335.089,0.009,Sesame Oil
310.476,0.017,Sesame Oil
313.893,3.472,Sunflower Oil
390.523,0.314,Peppermint Oil
378.267,1.446,Sunflower Oil
202,1.82,Transformer Oil
299.867,0.34,Cannabis Oil
253.545,0.438,Transformer Oil
234.98,1,Dershani Oil
383.032,0.148,Carrot seed Oil
226.316,0.331,Crude Oil
227.394,2.33,Transformer Oil
350.619,3.108,Sunflower Oil
230.485,1.817,Transformer Oil
233.909,1.25,Transformer Oil
481.293,0.47,Canola Oil
630.399,0.443,Canola Oil
238.646,0.059,Flaxseed Oil
353.687,0.234,Dershani Oil
300.034,0.031,Flaxseed Oil
246.091,0.381,Transformer Oil
388.768,0.163,Carrot seed Oil
260.727,0.471,Transformer Oil
308.348,0.055,Transformer Oil
218.121,2.82,Transformer Oil
323.203,0.386,Peppermint Oil
310.152,0.041,Transformer Oil
277.659,0.074,Sesame Oil
267.647,0.648,Peppermint Oil
382.392,0.005,Sesame Oil
358.929,0.123,Raspberry Oil
270.395,0.195,Refined Oil
204.838,0.855,Sunflower Oil
689.254,9.28E-04,Refined Oil
293.977,0.153,Transformer Oil
297.51,0.034,Sesame Oil
285.863,0.063,Sesame Oil
331.923,0.108,Coconut Oil
319.327,0.121,Carrot seed Oil
285.961,0.457,Dershani Oil
554.058,0.443,Sunflower Oil
283.741,0.07,Sesame Oil
799.781,0.002,Refined Oil
365.783,0.006,Sesame Oil
637.827,0.443,Sunflower Oil
230.719,1.623,Peppermint Oil
225.565,0.094,Flaxseed Oil
235.864,0.926,Transformer Oil
340.769,0.008,Sesame Oil
273.471,0.076,Sesame Oil
320.746,0.012,Sesame Oil
